model,dataset,test_acc,precision,recall,macro_f1,train_runtime_s,peak_train_mem_mb,latency_ms,peak_infer_mem_mb
AlexNet,cells,95.67,95.92,95.53,95.7,40.85,203,0.0802,125.2
AlexNet,chest,83.09,87.5,76.15,78.07,14.76,199.1,0.0725,123.2
AlexNet,lesions,75.96,58.06,49.71,51.5,24.78,203,0.0812,125.2
AlexNet,orgs,89.47,88.23,88.09,87.95,43.79,199.3,0.0704,123.2
VGG16,cells,96.54,96.71,95.79,96.22,239.5,876.5,0.403,485.2
VGG16,chest,82.39,88.42,75.94,77.83,91.6,871.5,0.3957,483
VGG16,lesions,71.77,37.99,27.98,28.88,140.94,874.7,0.4045,485.2
VGG16,orgs,89.29,87.62,87.71,87.51,266.7,871.6,0.3951,483
ResNet18,cells,96.95,97.18,96.77,96.95,583.16,1539.6,0.8662,607.5
ResNet18,chest,86.62,89.96,81.97,83.96,224.07,1535.4,0.8837,605.5
ResNet18,lesions,73.47,53.23,41.35,42.24,342.03,1538.6,0.8674,607.5
ResNet18,orgs,92.04,91.64,91.12,91.16,655.4,1535.5,0.8645,605.5
GreenNet,cells,96.67,96.97,96.85,96.82,26.25,139.4,0.0702,98.7
GreenNet,chest,86.61,89.86,81.75,83.75,9.32,137.4,0.0582,96.7
GreenNet,lesions,75.61,57.08,38.84,43.4,15.77,139.4,0.0721,98.7
GreenNet,orgs,91.3,90.05,90.13,89.89,26.52,137.4,0.0543,96.7
